# distance_m=257.0
# duration_s=181
# pace=11:44 / km
t,roll,pitch,yaw,tempC,cadence,strideM,deltaH,label
39.900,-4.582,-51.758,-86.518,28.71,57.6,0.074,,walking
40.000,-17.711,-42.115,-98.126,28.71,57.6,0.074,,walking
40.100,8.769,-28.352,-101.892,28.72,57.6,0.074,,walking
40.200,-9.494,-23.298,-107.116,28.72,57.6,0.074,,walking
40.300,-31.852,-18.489,-57.346,28.72,57.6,0.074,,walking
40.400,-38.413,-14.072,4.258,28.72,57.6,0.074,,walking
40.500,-36.090,-8.779,61.298,28.71,57.6,0.074,,walking
40.600,-19.221,-4.151,94.070,28.71,57.6,0.074,,walking
40.700,10.697,-4.035,-23.695,28.71,57.6,0.074,,walking
40.800,54.780,-8.212,-64.895,28.71,57.6,0.074,,walking
40.900,92.221,-12.154,-85.325,28.70,57.6,0.074,,walking
41.000,111.807,-26.399,-6.357,28.70,57.6,0.074,,walking
41.100,112.024,-34.725,54.989,28.69,57.6,0.074,,walking
41.200,100.303,-32.557,86.084,28.69,57.6,0.074,,walking
41.300,76.825,-32.665,61.567,28.69,57.6,0.074,,walking
41.400,60.882,-29.151,-48.696,28.68,57.6,0.074,,walking
41.500,60.582,-25.837,-98.096,28.68,57.6,0.074,,walking
41.600,63.224,-27.266,-124.204,28.68,57.6,0.074,,walking
41.700,72.293,-36.602,-145.051,28.67,57.6,0.074,,walking
41.800,87.098,-40.010,-13.694,28.67,57.6,0.074,,walking
41.900,102.928,-52.981,75.355,28.68,57.6,0.074,,walking
42.000,99.732,-57.643,116.706,28.67,57.6,0.074,,walking
42.100,83.211,-39.843,127.691,28.68,57.6,0.074,,walking
42.200,61.081,-20.525,-32.670,28.68,57.6,0.074,,walking
42.300,39.059,-7.077,-102.892,28.68,57.6,0.074,,walking
42.400,14.620,2.470,-132.167,28.68,57.6,0.074,,walking
42.500,-3.174,1.213,-147.506,28.69,57.6,0.074,,walking
